depature,depatureTime,arrive,arriveTime,avaiable
名古屋駅,14:30 発,金沢駅,18:20 着,空席あり
名古屋駅,15:30 発,金沢駅,19:28 着,空席あり
名古屋駅,16:30 発,金沢駅,20:28 着,空席あり
名古屋駅,17:30 発,金沢駅,21:20 着,空席あり
名古屋駅,18:30 発,金沢駅,22:20 着,空席あり
名古屋駅,19:30 発,金沢駅,23:20 着,空席あり
金沢駅,14:30 発,名古屋駅,18:08 着,空席あり
金沢駅,15:30 発,名古屋駅,19:08 着,空席あり
金沢駅,16:30 発,名古屋駅,20:14 着,空席あり
金沢駅,17:30 発,名古屋駅,21:14 着,空席あり
金沢駅,18:30 発,名古屋駅,22:08 着,空席あり
名古屋駅,14:50 発,高岡駅前,18:25 着,空席あり
名古屋駅,16:50 発,高岡駅前,20:25 着,空席あり
名古屋駅,17:50 発,高岡駅前,21:25 着,空席あり
高岡駅前,15:25 発,名古屋駅,19:05 着,空席あり
名古屋駅,14:10 発,富山駅前,17:47 着,空席あり
名古屋駅,15:10 発,富山駅前,18:47 着,空席あり
名古屋駅,16:10 発,富山駅前,19:47 着,空席あり
名古屋駅,18:10 発,富山駅前,21:47 着,空席あり
名古屋駅,19:40 発,富山駅前,23:17 着,空席あり
富山駅前,14:20 発,名古屋駅,18:00 着,空席あり
富山駅前,15:20 発,名古屋駅,19:00 着,空席あり
富山駅前,17:20 発,名古屋駅,21:00 着,空席あり
富山駅前,18:20 発,名古屋駅,22:00 着,空席あり
名古屋駅,15:00 発,福井駅東口,18:00 着,空席あり
名古屋駅,16:00 発,福井駅東口,19:00 着,空席あり
名古屋駅,18:00 発,福井駅東口,21:00 着,空席あり
名古屋駅,19:00 発,福井駅東口,22:00 着,空席あり
名古屋駅,20:00 発,福井駅東口,23:00 着,空席あり
福井駅東口,14:30 発,名古屋駅,17:30 着,空席あり
福井駅東口,16:30 発,名古屋駅,19:40 着,空席あり
福井駅東口,18:00 発,名古屋駅,21:00 着,空席あり
福井駅東口,19:00 発,名古屋駅,22:00 着,空席あり
福井駅東口,20:00 発,名古屋駅,23:00 着,空席あり
名古屋駅,14:30 発,高山駅,17:20 着,空席あり
名古屋駅,16:30 発,高山駅,19:20 着,空席あり
名古屋駅,18:30 発,高山駅,21:20 着,空席あり
名古屋駅,20:30 発,高山駅,23:20 着,空席あり
高山駅,14:00 発,名古屋駅,16:45 着,空席あり
高山駅,15:00 発,名古屋駅,17:45 着,空席あり
高山駅,16:00 発,名古屋駅,18:45 着,空席あり
高山駅,17:30 発,名古屋駅,20:15 着,空席あり
高山駅,19:00 発,名古屋駅,21:45 着,空席あり
名古屋駅,14:10 発,松本駅,17:37 着,空席あり
名古屋駅,17:10 発,松本駅,20:37 着,空席あり
名古屋駅,20:40 発,松本駅,0:07 着,空席あり
松本駅,14:30 発,名古屋駅,18:00 着,空席あり
松本駅,17:30 発,名古屋駅,21:00 着,空席あり
松本駅,19:30 発,名古屋駅,23:00 着,空席あり
